yob,date,values
1969,2012,2.9130435
1969,2013,2.7272727
1969,2014,3
1969,2016,2.35
1970,2003,2.875
1970,2004,3.0277778
1970,2005,2.8888889
1970,2006,3.1176471
1970,2007,3
1970,2008,3.1020408
1970,2009,2.9310345
1970,2010,2.8529412
1970,2011,2.7906977
1970,2012,2.6956522
1970,2013,2.6538462
1970,2014,3.0588235
1970,2016,3.1428571
1971,2003,3.0857143
1971,2004,3.1481481
1971,2005,2.9375
1971,2006,2.9310345
1971,2007,2.7272727
1971,2008,2.7857143
1971,2009,3.2340426
1971,2010,3.1086957
1971,2011,2.9565217
1971,2012,2.5925926
1971,2013,2.8
1971,2014,3
1971,2016,2.75
1972,2003,2.9032258
1972,2004,2.6842105
1972,2005,2.96875
1972,2006,2.8529412
1972,2007,2.9761905
1972,2008,2.9666667
1972,2009,2.7272727
1972,2010,2.7708333
1972,2011,2.85
1972,2012,2.9375
1972,2013,2.64
1972,2014,2.9705882
1972,2016,3.0769231
1973,2003,2.5333333
1973,2004,2.744186
1973,2005,2.925
1973,2006,3.1764706
1973,2007,3.0833333
1973,2008,3.0232558
1973,2009,3.025
1973,2010,3.1515152
1973,2011,3
1973,2012,2.9375
1973,2013,2.68
1973,2014,2.78125
1973,2016,3.5
1974,2003,2.969697
1974,2004,2.9130435
1974,2005,3.03125
1974,2006,2.7647059
1974,2007,3.030303
1974,2008,2.8857143
1974,2009,2.6216216
1974,2010,3
1974,2011,2.71875
1974,2012,3
1974,2013,2.8846154
1974,2014,2.8
1974,2016,2.9285714
1975,2003,2.8
1975,2004,2.6
1975,2005,2.9090909
1975,2006,2.9677419
1975,2007,2.84375
1975,2008,2.8
1975,2009,2.90625
1975,2010,2.4871795
1975,2011,2.6944444
1975,2012,2.6666667
1975,2013,2.7857143
1975,2014,2.4117647
1975,2016,2.75
1976,2003,3.030303
1976,2004,2.8
1976,2005,2.8148148
1976,2006,2.9444444
1976,2007,2.6428571
1976,2008,3.0740741
1976,2009,2.6176471
1976,2010,2.6969697
1976,2011,3
1976,2012,2.7647059
1976,2013,2.9259259
1976,2014,2.826087
1976,2016,2.6363636
1977,2003,2.6818182
1977,2004,2.5714286
1977,2005,2.5714286
1977,2006,3.1212121
1977,2007,3.1363636
1977,2008,3.0384615
1977,2009,2.8787879
1977,2010,2.9666667
1977,2011,3.0833333
1977,2012,3.3846154
1977,2013,2.7826087
1977,2014,2.55
1977,2016,2.55
1978,2003,2.9655172
1978,2004,3.1111111
1978,2005,3.0555556
1978,2006,3
1978,2007,3.12
1978,2008,2.92
1978,2009,2.8857143
1978,2010,2.8666667
1978,2011,2.6206897
1978,2012,3.1428571
1978,2013,2.9090909
1978,2014,2.4
1978,2016,2.8823529
1979,2003,3
1979,2004,2.9
1979,2005,2.9032258
1979,2006,2.6
1979,2007,3.037037
1979,2008,2.7692308
1979,2009,2.7666667
1979,2010,2.862069
1979,2011,2.6153846
1979,2012,2.7826087
1979,2013,2.9285714
1979,2014,2.7407407
1979,2016,2.9090909
1980,2003,2.826087
1980,2004,3.2
1980,2005,3.0909091
1980,2006,3
1980,2007,2.9
1980,2008,2.84
1980,2009,3
1980,2010,3
1980,2011,2.8846154
1980,2012,3.0555556
1980,2013,2.8181818
1980,2014,2.8846154
1980,2016,2.7333333
1981,2003,2.5357143
1981,2004,2.9393939
1981,2005,2.8064516
1981,2006,3.0789474
1981,2007,2.7857143
1981,2008,3.0769231
1981,2009,2.9642857
1981,2010,2.8648649
1981,2011,2.5185185
1981,2012,2.6153846
1981,2013,2.8214286
1981,2014,2.75
1981,2016,2.7777778
1982,2003,3.0967742
1982,2004,3.0588235
1982,2005,3
1982,2006,2.8529412
1982,2007,3.1785714
1982,2008,3.0869565
1982,2009,2.8148148
1982,2010,3.0357143
1982,2011,3
1982,2012,3.125
1982,2013,2.7857143
1982,2014,2.8571429
1982,2016,2.8947368
1983,2003,2.7826087
1983,2004,2.4444444
1983,2005,3.5555556
1983,2006,3.2068966
1983,2007,2.9166667
1983,2008,3.2666667
1983,2009,3.1923077
1983,2010,3
1983,2011,3.1818182
1983,2012,3.15
1983,2013,3.2857143
1983,2014,2.6666667
1983,2016,3
1984,2003,2.9285714
1984,2004,2.8333333
1984,2005,2.7272727
1984,2006,3.0526316
1984,2007,3.12
1984,2008,2.92
1984,2009,2.7777778
1984,2010,3.0909091
1984,2011,2.8823529
1984,2012,2.9
1984,2013,2.6470588
1984,2014,2.8
1984,2016,2.9333333
1985,2003,3.25
1985,2004,3
1985,2005,2.9333333
1985,2006,2.9090909
1985,2007,2.8333333
1985,2008,2.7894737
1985,2009,3
1985,2010,2.9090909
1985,2011,3.05
1985,2012,2.5
1985,2013,2.8571429
1985,2014,3.125
1985,2016,3
1986,2004,2.875
1986,2005,3.0714286
1986,2006,3.2631579
1986,2007,2.8181818
1986,2008,2.9
1986,2009,2.9655172
1986,2010,3.3181818
1986,2011,2.6842105
1986,2012,3
1986,2013,2.8333333
1986,2014,2.625
1986,2016,2.8888889
1987,2005,2.6666667
1987,2006,2.6923077
1987,2007,2.5333333
1987,2008,2.8666667
1987,2009,3.25
1987,2010,2.44
1987,2011,2.9090909
1987,2012,3.2222222
1987,2013,3
1987,2014,2.7368421
1987,2016,3
1988,2006,2.6190476
1988,2007,2.9130435
1988,2008,3.0416667
1988,2009,2.8125
1988,2010,2.7692308
1988,2011,3.3846154
1988,2012,2.7391304
1988,2013,2.7727273
1988,2014,2.875
1988,2016,2.75
1989,2007,2.9090909
1989,2008,3.12
1989,2009,2.5833333
1989,2010,3
1989,2011,2.7272727
1989,2012,2.8181818
1989,2013,3.0322581
1989,2014,3.1904762
1989,2016,2.7058824
1990,2008,2.8
1990,2009,2.6956522
1990,2010,2.8148148
1990,2011,2.9411765
1990,2012,3
1990,2013,2.9642857
1990,2014,2.8333333
1990,2016,2.6190476
1991,2009,2.6578947
1991,2010,2.8695652
1991,2011,2.8888889
1991,2012,2.7647059
1991,2013,3.1176471
1991,2014,3.173913
1991,2016,2.7
1992,2010,2.6842105
1992,2011,2.9230769
1992,2012,2.7619048
1992,2013,2.5925926
1992,2014,2.6923077
1992,2016,3.0526316
1993,2011,2.6818182
1993,2012,2.6363636
1993,2013,2.6666667
1993,2014,2.65
1993,2016,2.9230769
